time,players,games
2020-11-04T18:20:35.470Z,88103,36320
2020-11-04T18:22:42.745Z,88492,36464
2020-11-04T20:09:36.078Z,80506,33865
2020-11-05T04:14:13.502Z,32298,13775
2020-11-05T08:11:52.691Z,45237,18905
2020-11-05T12:13:51.895Z,65085,27619
2020-11-05T16:21:22.430Z,86784,36061
2020-11-05T20:09:44.007Z,87541,36819
2020-11-06T00:26:11.658Z,46948,19842
2020-11-06T04:13:46.471Z,34004,14307
2020-11-06T08:12:33.085Z,46364,19343
2020-11-06T12:13:27.527Z,66392,28159
2020-11-06T16:21:07.920Z,89813,36867
2020-11-06T20:10:08.777Z,85060,35821
2020-11-07T00:26:22.004Z,49528,20775
2020-11-07T04:14:31.019Z,34032,14342
2020-11-07T08:12:38.016Z,45925,18655
2020-11-07T12:13:47.038Z,66531,27222
2020-11-07T16:20:00.734Z,91282,36881
2020-11-07T20:09:58.492Z,82694,33953
2020-11-08T00:28:35.634Z,47040,19997
2020-11-08T04:14:08.001Z,33790,14180
2020-11-08T04:38:39.130Z,34159,14158
2020-11-08T06:30:32.629Z,38312,15511
2020-11-08T08:16:15.525Z,48229,19434
2020-11-08T10:18:11.469Z,62644,25434
2020-11-08T12:18:29.246Z,67573,27823
2020-11-08T14:15:05.706Z,78058,32136
2020-11-08T16:28:05.353Z,89774,36857
2020-11-08T18:13:07.412Z,87555,36653
2020-11-08T20:13:29.290Z,84079,35974
2020-11-08T22:17:57.557Z,63755,27248
2020-11-09T00:39:17.086Z,42040,18033
2020-11-09T02:17:18.102Z,36414,15692
2020-11-09T04:20:54.273Z,32178,13722
2020-11-09T06:16:51.092Z,35606,14853
2020-11-09T08:17:31.501Z,45428,18941
2020-11-09T10:18:43.805Z,56599,24220
2020-11-09T12:19:25.457Z,65549,27824
2020-11-09T14:15:43.780Z,77859,32375
2020-11-09T16:32:47.368Z,89939,37387
2020-11-09T18:14:32.735Z,93497,39371
2020-11-09T20:13:36.356Z,88415,37985
2020-11-09T22:17:53.626Z,69713,29604
2020-11-10T00:39:30.870Z,48224,20159
2020-11-10T02:17:25.252Z,40805,17313
2020-11-10T04:13:49.237Z,34987,14945
2020-11-10T06:14:46.386Z,36609,15359
2020-11-10T08:14:20.123Z,46895,19904
2020-11-10T10:13:59.600Z,58234,24744
2020-11-10T12:16:21.781Z,68304,28658
2020-11-10T14:14:40.626Z,81806,33983
2020-11-10T16:20:07.162Z,90359,37443
2020-11-10T18:12:59.641Z,95726,40029
2020-11-10T20:12:25.752Z,91245,38579
2020-11-10T22:14:45.443Z,72612,30604
2020-11-11T00:30:51.620Z,49632,20770
2020-11-11T02:14:09.421Z,41421,17385
2020-11-11T04:15:02.970Z,35634,15056
2020-11-11T06:14:59.869Z,37700,15728
2020-11-11T08:15:33.008Z,46866,19775
2020-11-11T10:14:46.928Z,59078,25129
2020-11-11T12:17:06.187Z,69241,29160
2020-11-11T14:24:43.309Z,84969,35176
2020-11-11T16:20:22.963Z,93864,38663
2020-11-11T18:13:51.781Z,96229,39876
2020-11-11T20:12:19.542Z,88957,37410
2020-11-11T22:15:02.732Z,73884,31354
